Section;h;b;tf;tw;r1
IPE 80;80;46;5.2;3.8;5
IPE 100;100;55;5.7;4.1;7
IPE 120;120;64;6.3;4.4;7
IPE 140;140;73;6.9;4.7;7
IPE 160;160;82;7.4;5;9
IPE 180;180;91;8;5.3;9
IPE 200;200;100;8.5;5.6;12
IPE 220;220;110;9.2;5.9;12
IPE 240;240;120;9.8;6.2;15
IPE 270;270;135;10.2;6.6;15
IPE 300;300;150;10.7;7.1;15
IPE 330;330;160;11.5;7.5;18
IPE 360;360;170;12.7;8;18
IPE 400;400;180;13.5;8.6;21
IPE 450;450;190;14.6;9.4;21
IPE 500;500;200;16;10.2;21
IPE 550;550;210;17.2;11.1;24
IPE 600;600;220;19;12;24
HE 100 A;96;100;8;5;12
HE 120 A;114;120;8;5;12
HE 140 A;133;140;8.5;5.5;12
HE 160 A;152;160;9;6;15
HE 180 A;171;180;9.5;6;15
HE 200 A;190;200;10;6.5;18
HE 220 A;210;220;11;7;18
HE 240 A;230;240;12;7.5;21
HE 260 A;250;260;12.5;7.5;24
HE 280 A;270;280;13;8;24
HE 300 A;290;300;14;8.5;27
HE 320 A;310;300;15.5;9;27
HE 340 A;330;300;16.5;9.5;27
HE 360 A;350;300;17.5;10;27
HE 400 A;390;300;19;11;27
HE 450 A;440;300;21;11.5;27
HE 500 A;490;300;23;12;27
HE 550 A;540;300;24;12.5;27
HE 600 A;590;300;25;13;27
HE 650 A;640;300;26;13.5;27
HE 700 A;690;300;27;14.5;27
HE 800 A;790;300;28;15;30
HE 900 A;890;300;30;16;30
HE 1000 A;990;300;31;16.5;30
HE 100 B;100;100;10;6;12
HE 120 B;120;120;11;6.5;12
HE 140 B;140;140;12;7;12
HE 160 B;160;160;13;8;15
HE 180 B;180;180;14;8.5;15
HE 200 B;200;200;15;9;18
HE 220 B;220;220;16;9.5;18
HE 240 B;240;240;17;10;21
HE 260 B;260;260;17.5;10;24
HE 280 B;280;280;18;10.5;24
HE 300 B;300;300;19;11;27
HE 320 B;320;300;20.5;11.5;27
HE 340 B;340;300;21.5;12;27
HE 360 B;360;300;22.5;12.5;27
HE 400 B;400;300;24;13.5;27
HE 450 B;450;300;26;14;27
HE 500 B;500;300;28;14.5;27
HE 550 B;550;300;29;15;27
HE 600 B;600;300;30;15.5;27
HE 650 B;650;300;31;16;27
HE 700 B;700;300;32;17;27
HE 800 B;800;300;33;17.5;30
HE 900 B;900;300;35;18.5;30
HE 1000 B;1000;300;36;19;30
HE 100 C;110;103;15;9;12
HE 120 C;130;123;16;9.5;12
HE 140 C;150;143;17;10;12
HE 160 C;170;163;18;11;15
HE 180 C;190;183;19;11.5;15
HE 200 C;210;203;20;12;18
HE 220 C;230;223;21;12.5;18
HE 240 C;255;244;24.5;14;21
HE 260 C;275;264;25;14;24
HE 280 C;295;284;25.5;14.5;24
HE 300 C;320;305;29;16;27
HE 320 C;340;305;30.5;16;27
