Section;h;b;tf;tw;r1
UPE 80;80;50;7;4;10
UPE 100;100;55;7.5;4.5;10
UPE 120;120;60;8;5;12
UPE 140;140;65;9;5;12
UPE 160;160;70;9.5;5.5;12
UPE 180;180;75;10.5;5.5;12
UPE 200;200;80;11;6;13
UPE 220;220;85;12;6.5;13
UPE 240;240;90;12.5;7;15
UPE 270;270;95;13.5;7.5;15
UPE 300;300;100;15;9.5;15
UPE 330;330;105;16;11;18
UPE 360;360;110;17;12;18
UPE 400;400;115;18;13.5;18
UAP 80;80;45;8;5;8
UAP 100;100;50;8.5;5.5;8.5
UAP 130;130;55;9.5;6;9.5
UAP 150;150;65;10.3;7;10.3
UAP 175;175;70;10.8;7.5;10.8
UAP 200;200;75;11.5;8;11.5
UAP 220;220;80;12.5;8;12.5
UAP 250;250;85;13.5;9;13.5
UAP 300;300;100;16;9.5;16
